"ClaimId","CustomerClaimDefectWeight"
1074,"940"
1075,"2625"
1076,"2080"
1077,"3190"
1078,"8876"
1079,"915"
1080,"2132"
1081,"950"
1082,"7465"
1083,"531"
1084,"588"
1085,"472"
1086,"5615"
1087,"2140"
1088,"1170"
1089,"1532"
1090,"670"
1091,"788"
1092,"3838"
1093,"3698"
1094,"3610"
1095,"1463"
1096,"6921"
1097,"1029"
1098,"2743"
1099,"1176"
1100,"973"
1101,"0"
1102,"2597"
1103,"14190"
1104,"0"
1105,"1020"
1106,"206"
1107,"3717"
1108,"1340"
1109,"840"
1110,"2942"
1111,"3628"
1112,"1871"
1113,"1140"
1114,"700"
1115,"3030"
1116,"2215"
1117,"0"
1118,"1680"
1119,"2077"
1120,"3607"
1121,"4630"
1122,"18330"
1123,"23280"
1124,"432"
1125,"2356"
1126,"2552"
1127,"620"
1128,"2623"
1129,"1290"
1130,"2496"
1131,"1410"
1132,"930"
1133,"1610"
1134,"1184"
1135,"678"
1136,"425"
1137,"2211"
1138,"1400"
1139,"1270"
1140,"1217"
1141,"4247"
1142,"15494"
1143,"823"
1144,"18120"
1145,"2660"
1146,"2968"
1147,"15575"
1148,"1010"
1149,"1263"
1150,"1010"
1151,"1010"
1152,"1834"
1153,"810"
1154,"867"
1155,"188"
1156,"10936"
1157,"14300"
1158,"3961"
1159,"7046"
1160,"3309"
1161,"3468"
1162,"7144"
1163,"2086"
1164,"982"
1165,"3685"
1166,"930"
1167,"1630"
1168,"1667"
1169,"0"
1170,"2382"
1171,"2495"
1172,"2165"
1173,"6508"
1174,"0"
1175,"1702"
1176,"3533"
1177,"1622"
1178,"2700"
1179,"13050"
1180,"8935"
1181,"4730"
1182,"7215"
1183,"2299"
1184,"0"
1185,"14810"
1186,"13600"
1187,"13800"
1188,"9900"
1189,"3305"
1190,"704"
1191,"2494"
1192,"2890"
1193,"4617"
1194,"1635"
1195,"1620"
1196,"3859"
1197,"7864"
1198,"4786"
1199,"2622"
1200,"0"
1201,"6400"
1202,"1512"
1203,"1429"
1204,"3314"
1205,"1633"
1206,"1415"
1207,"591"
1208,"1447"
1209,"1115"
1210,"1061"
1211,"1365"
1212,"543"
1213,"6034"
1214,"445"
1215,"1254"
1216,"626"
1217,"4074"
1218,"1735"
1219,"1548"
1220,"1620"
1221,"0"
1222,"3730"
1223,"3704"
1224,"493"
1225,"535"
1226,"418"
1227,"324"
1228,"2003"
1229,"579"
1230,"3190"
1231,"2255"
1232,"1332"
1233,"8550"
1234,"0"
1235,"0"
1236,"876"
1237,"685"
1238,"2950"
1239,"266"
1240,"3465"
1241,"2238"
1242,"774"
1243,"0"
1244,"2244"
1245,"2724"
1246,"2412"
1247,"2141"
1248,"24468"
1249,"1238"
1250,"164"
1251,"1080"
1252,"1025"
1253,"709"
1254,"2785"
1255,"3980"
1256,"3599"
1257,"529"
1258,"2399"
1259,"1992"
1260,"1966"
1261,"2440"
1262,"395"
1263,"405"
1264,"775"
1265,"1413"
1266,"3545"
1267,"1403"
1268,"3555"
1269,"3370"
1270,"3380"
1271,"2200"
1272,"2625"
1273,"4438"
1274,"19435"
1275,"18409"
1276,"1700"
1277,"1180"
1278,"1880"
1279,"0"
1280,"0"
1281,"10315"
1282,"605"
1283,"281"
1284,"5528"
1285,"600"
1286,"505"
1287,"0"
1288,"0"
1289,"2140"
1290,"3060"
1291,"14310"
1292,"943"
1293,"690"
1294,"879"
1295,"0"
1296,"0"
1297,"2213"
1298,"6155"
1299,"600"
1300,"1408"
1301,"11075"
1302,"0"
1303,"19493"
1304,"20460"
1305,"0"
1306,"0"
1307,"8859"
1308,"22310"
1309,"1324"
1310,"444"
1311,"1369"
1312,"2056"
1313,"1248"
1314,"195"
1315,"763"
1316,"7970"
1317,"1544"
1318,"1158"
1319,"2652"
1320,"884"
1321,"2703"
1322,"940"
1323,"1280"
1324,"1780"
1325,"0"
1326,"2510"
1327,"2700"
1328,"1960"
1329,"22597"
1330,"12390"
1331,"1544"
1332,"844"
1333,"4016"
1334,"3028"
1335,"2725"
1336,"3730"
1337,"1160"
1338,"1324"
1339,"628"
1340,"1030"
1341,"1996"
1342,"95"
1343,"1420"
1344,"3800"
1345,"582"
1346,"1101"
1347,"2818"
1348,"1081"
1349,"1217"
1350,"840"
1351,"1560"
1352,"2248"
1353,"1160"
1354,"1987"
1355,"7318"
1356,"9229"
1357,"5665"
1358,"1036"
1359,"10469"
1360,"25930"
1361,"2350"
1362,"22850"
1363,"13055"
1364,"24680"
1365,"22940"
1366,"2490"
1367,"5615"
1368,"128"
1369,"23700"
1370,"39440"
1371,"31220"
1372,"23280"
1373,"23920"
1374,"2684"
1375,"24530"
1376,"25510"
1377,"25070"
1378,"15803"
1379,"21990"
1380,"29350"
1381,"18716"
1382,"1985"
1383,"26310"
1384,"4172"
1385,"25985"
1386,"1203"
1387,"22050"
1388,"26760"
1389,"25760"
1390,"21240"
1391,"3158"
1392,"3913"
1393,"1828"
1394,"741"
1395,"25950"
1396,"25740"
1397,"7330"
1398,"0"
1399,"4320"
1400,"745"
1401,"0"
1402,"839"
1403,"2030"
1404,"850"
1405,"1441"
1406,"1200"
1407,"726"
1408,"3879"
1409,"8660"
1410,"2156"
1411,"2970"
1412,"605"
1413,"1222"
1414,"22480"
1415,"164"
1416,"685"
1417,"2028"
1418,"971"
1419,"6600"
1420,"5955"
1421,"4817"
1422,"16533"
1423,"2700"
1424,"765"
1425,"9690"
1426,"711"
1427,"13685"
1428,"13394"
1429,"1018"
1430,"14512"
1431,"573"
1432,"959"
1433,"7865"
1434,"11840"
1435,"1512"
1436,"0"
1437,"372"
1438,"1168"
1439,"0"
1440,"0"
1441,"273"
1442,"4876"
1443,"0"
1444,"9431"
1445,"2180"
1446,"0"
1447,"2584"
1448,"393"
1449,"461"
1450,"553"
1451,"1132"
1452,"27990"
1453,"786"
1454,"1835"
1455,"1363"
1456,"0"
1457,"2350"
1458,"4432"
1459,"706"
1460,"100"
1461,"2624"
1462,"4758"
1463,"3728"
1464,"2758"
1465,"7140"
1466,"3020"
1467,"4156"
1468,"0"
1469,"720"
1470,"2230"
1471,"0"
1472,"302"
1473,"778"
1474,"0"
1475,"3103"
1476,"2763"
1477,"1552"
1478,"4974"
1479,"1180"
1480,"340"
1481,"740"
1482,"2270"
1483,"1747"
1484,"4751"
1485,"5302"
1486,"4193"
1487,"2535"
1488,"2400"
1489,"2250"
1490,"2745"
1491,"4864"
1492,"3010"
1493,"2365"
1494,"610"
1495,"3250"
1496,"640"
1497,"680"
1498,"1987"
1499,"766"
1500,"810"
1501,"806"
1502,"1619"
1503,"845"
1504,"515"
1505,"2200"
1506,"6366"
1507,"3322"
1508,"2726"
1509,"5266"
1510,"1877"
1511,"1380"
1512,"2110"
1513,"2430"
1514,"15638"
1515,"1500"
1516,"1354"
1517,"1710"
1518,"16990"
